翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,お早めにご利用ください。,"Пожалуйста, питайте ваше тело",请尽早前往。,서둘러 이용해 주십시오.,
,,,,надлежащим образом.,,,
pc256,R・カレルレン,**:**,食堂はこちらの通路です。,Столовая находится дальше,如需使用食堂，,식당은 이쪽 통로입니다.,
,,,お間違えのないよう,"по коридору. Пожалуйста, воздержитесь",请沿指示路线前往。,다른 길로 가지 않도록,
,,,ご注意ください。,от любых отклонений от маршрута.,请注意不要走错。,주의해 주십시오.,
,,,⚠︎スタイラス様の場合、,"Внимание: Мистер Стайлус, вы",⚠斯泰拉斯同学，,⚠︎스타일러스 님은,
,,,通行ミスは人間スコア,будете оштрафованы за,若您未遵从正确路线，,인간 스코어 감점 항목 중,
,,,減点対象です。,несанкционированные отклонения от маршрута.,需扣除人类评分。,통행 실수 적용 대상입니다.,
pc257,R・カレルレン,**:**,そちらは食堂ではありません。,Это не путь в,那边不是食堂。,여기는 식당이 아닙니다.,
,,,食堂はこちらの通路です。,столовую.,请沿指示路线前往。,식당은 이쪽 통로입니다.,
,,,お間違えのないよう,Столовая дальше по этому,务必注意不要走错。,다른 길로 가지 않도록,
,,,ご注意ください。,коридору.,,주의해 주십시오.,
,,,,"Пожалуйста, не делайте никаких",,,
,,,,ненужных остановок по пути,,,
,,,,в столовую.,,,
pc258,R・カレルレン,**:**,足元の階段に,"Пожалуйста, смотрите под ноги",请注意脚下阶梯。,계단을 내려갈 때는,
,,,お気をつけください。,при использовании лестницы.,,발 밑을 조심하세요.,
,,,⚠︎スタイラス様の場合、,"Внимание: Мистер Стайлус, вы",⚠斯泰拉斯同学，,⚠︎스타일러스 님은,
,,,転倒で人間スコアが,будете оштрафованы за,若您在上下楼梯时摔倒，,넘어질 때마다 인간,
,,,減少します。,любую потерю,需扣除人类评分。,스코어가 감소합니다.,
,,,,равновесия.,,,
pc235,R・カレルレン,**:**,学食の終了まで,Ужин закончится через,学生食堂将于20分钟后停止营业。,20분 뒤에,
,,,あと20分です。,20 минут.,,급식을 종료합니다.,
,,,まだお食事をされて,"Студенты, которые ещё не",如您还未用餐，,아직 식사를 마치지,
,,,いない場合は、お早めに,"ели, пожалуйста, поешьте",请尽快完成用餐。,않은 분은 서둘러,
,,,お召し上がりください。,как можно скорее.,,식사를 끝내 주십시오.,
pc253,,,……まずいな。早く食べないと……,Дело плохо… Мне нужно поторопиться и поесть.,……糟糕。要抓紧了……,야단났네… 빨리 먹어야 하는데…,
pc204,TODO,,病院から通知？　なんだろう？,Сигнал из больницы? О чём он?,医院发消息给我？什么事啊？,병원이잖아? 무슨 일이지?,
pc154,AI,**:**,重要なお知らせです。,ВАЖНОЕ УВЕДОМЛЕНИЕ:,重要通知：,중요한 공지입니다.,
,,,Ｒ・カレルレンの決定に,Р. Кареллен ввёл,经卡列伦决定，,R-카렐렌의,
,,,より、,"новую политику. Те,",,"결정에 따라,",
,,,人間スコアが０未満の方の,"у кого рейтинг ниже нуля,",人类评分低于0者,인간 스코어 0 미만인,
,,,治療には保険が適応されず、,и их иждивенцы,不再适用医疗保险，,분의 치료는 보험이,
,,,全額実費が請求される,больше не смогут пользоваться,今后对于此类患者，,"적용되지 않으며, 전액",
,,,ことになりました。,медицинской страховкой.,将全额以现金收取医药费。,실비로 청구됩니다.,
pc155,AI,**:**,トーシア・スタイラス様,10% лечения госпожи Стайлус,托西娅·斯泰拉斯女士,토시아 스타일러스 님은,
,,,の場合、現在の自己負担,было оплачено.,当前自负比例为10%，,현재 본인 부담금,
,,,割合は10％です。,Оставшиеся 90%,,10% 대상자입니다.,
,,,差額の90％分にあたる,теперь подлежат полной оплате.,为补足余下90%差额，,"이에 차액분의 90%,",
,,,"972,000eのお支払いを","Пожалуйста, произведите","您还须支付972,000e。","972,000e의 금액을",
,,,お願いいたします。,платёж в размере 972 000е.,,준비해 주십시오.,
pc156,ジョバンニ,,全額実費、って、なんだそれ……,Я должен заплатить всё полностью?!,全额？现金？什么鬼……,"무슨 소리야, 전액 실비라니….",
pc157,AI,**:**,支払期限は、,"Пожалуйста, оплатите до конца",缴纳期限最晚为本月末。,지불 기한은 이번 달,
,,,今月末となっております。,месяца. Если платёж не,,말일까지입니다.,
,,,期限を過ぎた場合、,"поступит, лечение будет",若您逾期仍未缴纳，我们将,기한 내에 지불하지 않으면,
,,,現在の治療が中断されます。,прекращено.,中断当前的所有治疗。,현재 치료가 중단됩니다.,
,,,治療が中断されると、,Прекращение лечения,治疗一旦中断，可能影响,치료를 중단하면,
,,,トーシア様の健康状態に,может негативно,托西娅女士的健康状况。,토시아 님의 건강에,
,,,影響が出る可能性が,сказаться на самочувствии госпожи Стайлус.,,큰 영향이 발생할,
,,,ございますので、,В связи с этим,,"수 있으므로,",
,,,早めのお手続きを,настоятельно рекомендуется произвести,因此，请您尽早办理相关,되도록 빠르게,
,,,お願いいたします。,оплату КАК МОЖНО СКОРЕЕ.,手续，结清欠款。,처리해 주십시오.,
pc158,ジョバンニ,,はぁ！？　今月末……！？　そんなの無理に決まってるだろ！,Это буквально невозможно!,啥？！这个月底……？！怎么可能拿得出来！,뭐?! 이번 달 말…?! 불가능하다고!,
,,,ついに計算すらできなくなったのか……！？,"У них что, системы сгорели?!",那帮呆子现在连账都不会算了吗……？！,이제는 계산 기능까지 망가진 거야…?,
pc159,ジョバンニ,,支払期限って、……,Я не справлюсь…,……缴纳期限…………,지불 기한……,
,,,どっ……どう、すれば……,Что… Что мне делать?,怎、……怎、怎么办……,이걸…… 어쩌면 좋지……,
pc160,TODO,,また通知だ……,Ещё одно уведомление…,又有新消息……,또 알림이네……,
,,,今度は「例の場所」から？,На этот раз из тайного места?,这次是“那个地方”发来的？,"이번에는 ""그곳""이잖아?",
pc161,名無し2.4.5,**:**,@ハンドラー,@Хэндлер,＠Handler,＠핸들러,
,,,\C[18]カレルレンの思考アルゴリズムに侵入してほしい。,"\C[18]Я хочу, чтобы ты взломал алгоритм самосознания Кареллена.",\C[18]我想请你入侵卡列伦的思维算法。,\C[18]카렐렌의 사고 알고리즘에 침입해 줬으면 한다,
,,,, , , ,
,,,"\C[18]報酬金額：10,000,000e",\C[18]Награда: 10 000 000е,"\C[18]酬金：10,000,000e","\C[18]보수: 10,000,000e",
pc162,ジョバンニ,,え……？　なんだこれ……僕への依頼？,"А? Это… Это что, заказ?",啊……？这是……给我的委托？,뭐…? 이게 뭐야… 지명 의뢰?,
pc163,ジョバンニ,,カレルレンへ侵入してほしい、って……,Взломать Кареллена…?,请我入侵卡列伦……,카렐렌에 침입하라니……,
,,,まさか……カレルレン本体に？,"Погоди, ТОГО САМОГО Кареллена?!",难道是……卡列伦的主电脑？？,설마…… 카렐렌 본체 말이야?,
pc164,＊,**:**,は？　どゆこと？,"Ты шутишь, да?",哈？什么情况？,뭐? 그게 무슨 소리야?,
,,,カレルレンってあのカレルレン？,"Ты хочешь, чтобы он взломал Надзирателя-Р?",是我想的那个卡列伦吗？,카렐렌이라면 그 카렐렌?,
,,,為政Rの？　マジで言ってる？,ЭТОГО Кареллена? Ты спятил(а)?,入侵执政R？老哥你认真的？？,정치형 R을? 진심이야?,
pc165,＊,**:**,流石にそれはちょっと……,"чувак, какого хрена…",这着实有点强人所难吧……,아무리 그래도 그건 좀……,
pc166,＊,**:**,何言ってんだ？　死ぬぞ,"Бро, ты серьёзно? из-за тебя всех",说什么胡话，找死呢？,뭔 소리야? 죽는다고,
,,,ハンドラーも引き受けるわけ,поубивают. Хэндлер тоже не такой тупой.,你看Handler愿不愿意搭理你,날고 기는 핸들러라도,
,,,ないだろうし,он ни за что на это не пойдёт.,,이 의뢰는 안 받을 걸,
pc167,＊,**:**,え？　冗談だよね？,"это какая-то шутка, да?",啊？开玩笑的吧？,뭐? 장난이지?,
,,,冗談じゃないなら本当にやめて,"если да, то это не смешно. вообще ни разу.",如果是认真的，那我真诚劝你别作死,진심이라면 당장 그만 둬,
,,,ほしいしあり得ない,"серьёзно, займись делом.",好离谱,말도 안 되는 짓이야,
,,,やめて、怖い……,мне уже страшно просто говорить об этом.,真的别这样，很吓人……,"그만 둬, 무섭단 말이야……",
pc168,＊,**:**,ヤバい奴の投稿なんだろ,"Он либо тролль, либо у него крыша поехала.",就是个脑子有病的人瞎发的吧,분명 위험한 녀석일 거야,
,,,間に受けるなよ,Не ведись на это.,大伙别当真,진지하게 받지 말라고,
,,,1000万なんて本当に用意できるわけないし,"В смысле, десять миллионов? Да нет у него таких денег.",再说了一千万哪是说掏就掏,천만이나 되는 거금을 준비할 리 없으니까,
pc169,名無し2.4.5,**:**,\C[18]報酬金の支払いは確実だ。,"\C[18]Награда будет выплачена, я обещаю.",\C[18]酬劳当然是真金白银。,\C[18]보수는 확실하게 지불하지,
,,,\C[18]証拠に、このウォレットへ,\C[18]В качестве доказательства я перевёл 10 000 000е на этот,"\C[18]我准备了10,000,000e放在这个钱包。",\C[18]그 증거로 지갑에,
,,,"\C[18]10,000,000eぶん用意しておいた。",\C[18]криптокошелёк.,,"\C[18]10,000,000e 분의 금액을 준비했다",
,,,\C[18]気になるなら確認すればいい。,"\C[18]Если сомневаетесь, убедитесь сами.",\C[18]不相信的话，可以先看看。,\C[18]궁금하면 직접 확인해 봐,
,,,\C[18]ウォレットアドレス：1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]Адрес кошелька: 1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]钱包地址：1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]지갑 주소: 1KjH3d2L5fG6M7oP8r9S0tU1V,
,,, , , , ,
,,,\C[18]たかが被造物だろ？,\C[18]Кареллен — это просто конструкт.,\C[18]何况区区一个被造物，有什么了不起？,\C[18]기껏해야 인공물일 뿐이잖아?,
,,, , , , ,
,,,\C[18]カレルレンも所詮は人類が作り出した,\C[18]Набор программ. Строки кода.,\C[18]卡列伦也不过就是人类制造的程序集合体。,\C[18]카렐렌도 결국 인류가 만든,
,,,\C[18]プログラムの結晶だ。,\C[18]Написанные и скомпилированные людьми.,,\C[18]프로그램 집합체일 뿐이야,
,,,\C[18]怖がることはない。,\C[18]Не нужно его бояться.,\C[18]没什么好怕的。,\C[18]무서워할 필요 없어,
pc170,ジョバンニ,,1000万……！？　正気か！？,Десять лямов?! Какого хрена?!,一千万……？！这人疯了吧？！,천만이라고…?! 제정신이야?!,
pc171,ジョバンニ,,でも、それだけあれば……,Но с такими деньгами я бы смог…,可是，如果能拿那么多钱……,"그렇지만, 저 금액만 있으면…",
pc172,＊,**:**,にしてもリスクが高すぎるだろ,"Это не делает затею менее рискованной, тупица.",就算是这样风险也太大了吧,그래도 너무 위험 부담이 커,
,,,引き受ける奴なんかいねーよ,Ни один здравомыслящий человек не согласится.,谁会傻到接这种活,받아들일 녀석이 있겠냐고,
pc173,＊,**:**,わかったからもうこの話題やめよう,"Ладно, мы поняли, ты богатый. Проехали.",好好好知道了能不说这个了吗,알았으면 이 이야기는 끝내자,
,,,流石に危険すぎる,Даже говорить об этом опасно.,真的太危险了,너무 위험해,
,,,ハンドラー、相手にしないようにお願い,"Хэндлер, просто игнорируй его.",Handler你别搭理那疯子,"핸들러, 부탁이니까 상대하지 마",
pc174,＊,**:**,騒ぎすぎ。,"О боже мой, успокойтесь все",慌什么。,소란스럽게 굴기는,
,,,ハンドラーはリスク高い依頼は,Хэндлер не берёт рискованные заказы от троллей.,Handler明确说过,핸들러도 위험한 의뢰는 받지,
,,,受けないって公言してるんだし,Это его политика.,不接风险太大的委托,않는다고 직접 공언할 정도인데,
,,,引き受けるわけないだろ,Он ни за что этого не сделает.,怎么可能理这人,무슨 바람이 불어서 받아들이겠어?,
pc175,TODO,,通知を確認しなきゃ。,Надо проверить уведомления.,赶快查看新消息吧。,알림을 확인하자.,
pc176,AI,**:**,なお、支払いが遅れる場合、,Неуплата повлечёт за собой,此外要提醒您的是，,"또한, 지불이 늦어지면",
,,,更なるペナルティが,дальнейшие штрафы.,若您未能准时缴款，,추가로 패널티가,
,,,課せられることがございます。,Рекомендуем вам,恐将面临进一步的处罚。,부과될 수 있습니다.,
,,,速やかにお支払いいただく,произвести платёж как можно,因此，我们强烈推荐您,되도록 빨리 지불해,
,,,ことをお勧めいたします。,скорее.,尽快尽早处理付款事宜。,주시기를 부탁드립니다.,
pc177,ジョバンニ,,……そんな……,Нет…!,……怎么这样……,말도 안 돼……,
pc178,名無し2.4.5,**:**,@ハンドラー,@Хэндлер,＠Handler,＠핸들러,
,,,\C[18]今夜はカレルレンに情報が集まる特別な日だ。,\C[18]Эта ночь особенная. Это ночь сбора данных.,\C[18]今晚是个特例，所有数据都会集中到卡列伦。,\C[18]오늘은 카렐렌이 정보를 모으는 특별한 날이다,
,,,\C[18]今から”更新時刻”の２０時まで、,"\C[18]С этого момента и до обновления в 20:00, R-код Кареллена",\C[18]从现在起一直到20点”更新时间”，会相对容易,"\C[18]지금부터 ""경신 시간""인 20시까지",
,,,\C[18]カレルレンのR-codeを割り出しやすくなる。,\C[18]будет легче расшифровать.,\C[18]找出卡列伦的R-code。,\C[18]카렐렌의 R-codes를 쉽게 추출할 수 있는,
,,,\C[18]千載一遇のチャンスだ。,"\C[18]Это шанс, который выпадает раз в жизни.",\C[18]这可是千载难逢的好机会。,\C[18]천재일우의 기회지,
pc179,名無し2.4.5,**:**,\C[18]金が必要なんじゃないのか？,"\C[18]И тебе ведь нужны деньги, не так ли?",\C[18]你不是正缺钱吗？,\C[18]돈이 필요하지 않나?,
pc180,ジョバンニ,,どうしてそのことを？,Откуда он это знает?,这人怎么知道的？,어떻게 알았지?,
pc181,名無し2.4.5,**:**,\C[18]人間スコアどうこうで,"\C[18]Ты рвал задницу, пытаясь",\C[18]你不是一直为了人类评分的破事疲于奔命吗？,\C[18]지금까지 인간 스코어 덕분에,
,,,\C[18]今まで苦労してきたんだろ？,\C[18]удержаться на плаву со своим катастрофическим человеческим,,\C[18]많이 고생했지?,
,,, ,\C[18]рейтингом. , , ,
,,,\C[18]だったら目にモノ見せてやれよ。, ,\C[18]既然如此，让我看看你的实力。,\C[18]그렇다면 직접 보여줘,
,,,\C[18]世界に支配されるんじゃなく、,\C[18]Хватит это терпеть. Пора показать характер.,\C[18]不要让世界支配你，而是去成为支配世界的人。,\C[18]세계에게 지배당하는 쪽이 아닌,
,,,\C[18]お前が世界の支配者になれ。,"\C[18]Зачем бороться в мире, управляемом тиранией,",,\C[18]세계를 지배하는 자가 되는 거야,
,,, ,\C[18]когда ты можешь править им сам?, , ,
,,,\C[18]カレルレンをハッキングさえすれば, ,\C[18]只要能入侵、掌控卡列伦，就能实现这个愿望了。,\C[18]카렐렌 해킹에 성공하면,
,,,\C[18]それが叶うんだ。,"\C[18]Взломай Кареллена, и всё это наконец",,\C[18]모든 게 현실이 된다,
,,,\C[18]そうだろ？　ハンドラー。,\C[18]станет возможным.,\C[18]对吧？“Handler”。,"\C[18]핸들러, 구미가 당기지 않나?",
,,,,"\C[18]Разве это не было бы прекрасно, Хэндлер?",,,
pc182,＊,**:**,@ハンドラー,@Хэндлер,＠Handler,＠핸들러,
,,,引き受けないよね？,"Ты же не согласишься, ведь так?",你不会接的吧？,안 받을 거지?,
,,,お願いだから無視して,"Умоляю тебя, просто игнорируй этого типа.",算我求你，别搭理这人,"부탁이야, 무시해",
pc183,＊,**:**,いくらハンドラーでもカレルレンは流石に,"ты хорош, но ты ни за что не сможешь",就算让Handler去做这件事也太勉强了,제아무리 핸들러라도,
,,,無理だし,одолеть Кареллена.,那可是卡列伦,카렐렌 해킹은 불가능하다고,
,,,失敗して捕まるだけだろ,"тебя стопудово поймают, чувак.",只会搞砸 然后蹲号子吧？,실패하면 잡힐 게 뻔하잖아,
,,,何かあったらこの匿名サーバー自体にも,"в худшем случае, ты обрушишь весь этот",真出什么事我们整个匿名服都得陪葬,그러다 문제라도 생기면,
,,,影響出るかもしれないし,сервер и подставишь нас всех под удар.,求求你别作死,이 익명 서버도 영향이 미칠 걸,
,,,勘弁してくれ,"серьёзно, подумай о последствиях!",饶了我吧,그러니 하지 마,
pc184,＊,**:**,ハンドラー、,Хэндлер…,我说Handler,"핸들러,",
,,,まさかとは思うけど引き受けようとしてる？,"Не говори мне, что ты всерьёз это обдумываешь?",你该不会打算要接吧？,설마 맡을 생각은 아니지?,
pc185,＊,**:**,わかってるよね？,"Ты что, не понимаешь?",你应该明白吧？,너도 알잖아?,
,,,私たちの食事やトイレだけじゃない、酸素も水も,Кареллен видит ВСЁ!,咱们别说吃喝拉撒，,우리가 먹는 식사나 용변 뿐만이 아니야.,
,,,全部カレルレンが管理してるんだからね？,Контролирует ВСЁ!,就连呼吸的空气都归卡列伦管啊。,산소와 물도 전부 카렐렌이 관리하고 있어.,
,,,,"От воздуха, которым мы дышим, до еды, которую мы едим!",,,
pc186,＊,**:**,カレルレンがもしなくなったら誰も,Без Кареллена мы бы не смогли ничего,要是没了卡列伦，所有人都活不下去。,만약 카렐렌이 사라지면,
,,,生きていけなくなるよ。,сделать. Мы бы не выжили.,,다들 살아갈 수 없어,
,,,ありえないよね？,"Да брось, чувак. Ты не можешь этого сделать.",所以你不会接的吧？,그건 싫지?,
pc187,＊,**:**,分かってるなら早く断って。,"Я знаю, ты не тупой. Просто откажи ему",明白就赶快拒绝。,알았으면 빨리 거절하라고,
,,,,уже!,,,
pc188,ジョバンニ,,……酸素……,"Воздух, которым мы дышим…",……空气……,산소라……,
pc189,名無し2.4.5,**:**,\C[18]ハッキングの後、カレルレンをどうするかは,\C[18]Взломай Кареллена и верни себе контроль.,\C[18]入侵之后，要怎么处置卡列伦是你的自由。,\C[18]해킹이 끝나면 카렐렌을,
,,,\C[18]おまえ次第だ。,"\C[18]Тогда судьба этого мира будет в твоих руках, чтобы",,\C[18]어떻게 할지는 네 마음이다,
,,,\C[18]おまえは世界を生かしても殺してもいい。,\C[18]решать.,\C[18]想让全世界一起死还是活，都随便你。,\C[18]네 손으로 세상을 살리거나 죽일 수도 있지,
,,,,\C[18]Спасти его… или растоптать своим сапогом.,,,
pc190,名無し2.4.5,**:**,\C[18]5分以内に決めてくれ。,\C[18]У тебя пять минут на раздумья.,\C[18]5分钟以内给我答复。,\C[18]5분 내로 결단을 내려라,
pc191,名無し2.4.5,**:**,\C[18]ただし今日を逃せば、,"\C[18]Если упустишь этот шанс,",\C[18]不过一旦错过今天，,"\C[18]단, 오늘이 지나면 두 번 다시",
,,,\C[18]チャンスは二度となくなるかもしれないぞ。,\C[18]другого такого может уже не быть.,\C[18]恐怕就再也没有这么好的机会了哦。,\C[18]기회는 오지 않을 거야,
pc192,名無し2.4.5,**:**,\C[18]”更新時刻”には、銀河中の人間の,\C[18]Во время обновления Кареллен собирает данные со,\C[18]卡列伦会在”更新时间”重新统计全银河人类的,\C[18]경신 시간 중에는 전 은하에 사는,
,,,\C[18]人間スコアを再計算するために,"\C[18]всей галактики, чтобы обновить человеческие",\C[18]人类评分，,\C[18]인류의 인간 스코어 계산을 목적으로,
,,,\C[18]カレルレンに銀河中からデータが集まる。,\C[18]рейтинги каждого человека.,\C[18]届时整个银河的数据都会汇集到它那儿。,\C[18]전 은하의 데이터가 카렐렌에게 모인다,
,,, , , , ,
,,,\C[18]だからこっちでネットワークの,"\C[18]Я следил за сетевым трафиком,",\C[18]所以我这边监听网络流量，确定了卡列伦主机的,\C[18]그걸 토대로 이쪽에서,
,,,\C[18]トラフィックを監視して、,\C[18]чтобы отследить активность до самого Кареллена…,\C[18]所在地。,\C[18]네트워크 트래픽을 감시해,
,,,\C[18]カレルレンの本体の場所を突き止めた。,"\C[18]Я наконец выяснил, где находится его главный терминал.",,\C[18]카렐렌 본체가 있는 곳을 알아냈지,
pc193,名無し2.4.5,**:**,\C[18]これが俺から出せる情報だ。,"\C[18]Это вся информация, которую я могу тебе дать.",\C[18]这就是我能提供的线索了。,\C[18]내가 줄 수 있는 정보는 이 정도다,
,,,\C[18]ここからR-codeを突き止めて,"\C[18]Мне нужно, чтобы ты нашёл R-код и",\C[18]你要从中找出R-code，黑进它的系统。,\C[18]여기서 R-codes를 추출해,
,,,\C[18]奴をハッキングしてくれ。,\C[18]пробился с помощью взлома.,,\C[18]놈을 해킹해라,
,,,\C[18]ハンドラー、お前ならできるはずだ。,"\C[18]Ты сможешь, Хэндлер. Удачи.",\C[18]Handler，以你的本事应该可以做到。,"\C[18]핸들러, 너라면 할 수 있다",
pc194,ジョバンニ,,なんだ……これ？,А…?,这……什么？,이건…… 뭐지?,
,,,この画像に何かあるのか？,Что это за фото?,这张图里有什么吗？,이 이미지 안에 뭔가 있나?,
pc195,ジョバンニ,,……うーん。気になるところがあるとすれば……,Надо бы взглянуть поближе…,嗯……要说值得关注的点……,"음, 신경 쓰이는 곳이라면……",
pc196,TODO,,カレルレンに侵入って、,Какого хрена я должен взламывать,居然叫我黑进卡列伦……,"카렐렌을 해킹하라니,",
,,,一体どうすりゃいいんだよ？,"Кареллена, вообще?",到底要怎么做啊？,대체 어떻게?,
,,,依頼者は何か画像を送ってきてるけど……,"Похоже, клиент прислал фото, но…",委托人好像发了张图过来……,의뢰인이 어떤 사진을 보내긴 했는데…,
pc197,ジョバンニ,,……本当に……やるのか？,…Я действительно собираюсь это сделать?,……真的……要做吗？,정말…… 할 수 있을까?,
,,,あのR・カレルレンだぞ……,Я собираюсь взломать Кареллена?,那可是R·卡列伦啊……,상대는 그 R-카렐렌이라고……,
pc198,ジョバンニ,,……でも……,…Мама…,……但是……,하지만……,
pc348,ジョバンニ,,……母さん……,Мама...,……妈妈……,엄마......,
pc349,ジョバンニ,,くそ。……やるしかない。,Чёрт побери... У меня нет выбора.,可恶……只能豁出去了。,젠장...... 할 수밖에 없겠네.,
pc350,ジョバンニ,,いつものツールは効かない……か。,Ни один из моих других инструментов не работает.,平时用的工具不起效啊……,늘 쓰던 도구는...... 안 통하나.,
,,,まあ、そうだよな。,"Наверное, мне следовало догадаться...",算了，我想也是。,"뭐, 그럴 만도 해.",
pc351,ジョバンニ,,さて、この『鍵』を,"Так, теперь мне просто нужен способ",好了，,"그럼, 이 ""열쇠""를",
,,,こじ開ける方法は……,разобраться с этим замком...,要想暴力”开锁“的话……,강제로 열 방법은......,
pc199,ジョバンニ,,……,…,……,……,
pc200,ジョバンニ,,レスポンスに時間がかかるな……,Долговато что-то…,响应要等好久啊……,응답도 시간이 걸리네……,
,,,けっこう遠くにあるのか？,"Его сервер, должно быть, далеко.",是因为距离这里很远吗？,상당히 먼 곳에 있나?,
pc352,,,秘密鍵がこんなところに……！？,Приватный ключ...? Здесь?!,密钥竟然真就放在这种地方……？！,이런 곳에 비밀 키가......?!,
pc353,,,しかも平文で……嘘だ、そんなに脆弱なわけ……,И он даже не зашифрован...,而且还是明文……不是吧，怎么可能这么脆弱……,"문장도 평범하잖아...... 말도 안 돼, 이렇게 취약할 리......",
pc201,ジョバンニ,,……侵入完了、か……？,У меня получилось…?,……这就成功了……？,침입에…… 성공했나……?,
pc202,ジョバンニ,,……！？,…?!,……？！,……?!,
pc203,TODO,,部屋に戻るか……,"Думаю, вернусь в свою комнату…",回房间吧……,방으로 돌아갈까……,
pc205,ジョバンニ,,……！？,…?!,……？！,……?!,
pc206,R・カレルレン,**:**,尊敬する生徒の皆様へ、,"Возлюбленные студенты,",尊敬的各位同学：,"존경하는 학생 여러분,",
pc207,R・カレルレン,**:**,R・カレルレンは、,"Я, Р. Кареллен, всегда",R·卡列伦向来以实现,저 R-카렐렌은,
,,,プリマ・ゼウス銀河学園の,ставлю процветание,至上星主银河学园,프리마 제우스 은하학교,
,,,すべての生徒の皆様の,студентов Галактической Гимназии,诸位学生的幸福为第一位。,학생 여러분 모두의,
,,,幸福を第一に考えています。,превыше всего.,,행복을 우선합니다.,
pc208,R・カレルレン,**:**,この度、不幸にも,"В связи с этим, студенты с",本次卡列伦决定，,이번에 안타깝게도,
,,,人間スコアが-10000,человеческим рейтингом -10000,对于人类评分不幸降至,인간 스코어가,
,,,を下回ってしまった,или ниже теперь,-10000点以下的学生，,"-10,000점을 넘은",
,,,生徒に対し、特別な,обязаны записаться на,提供特殊的“共生教育”,학생을 대상으로 특별히,
,,,「共生プログラム」の,"Программу Симбиоза,",课程。,공생 프로그램을,
,,,提供を決定しました。,что вступает в силу немедленно.,,제공하기로 하였습니다.,
pc209,R・カレルレン,**:**,このプログラムは、,Эта программа поможет,本课程将改善实施对象的,이 프로그램은 대상자의,
,,,対象者の苦境を改善し、,реинтегрировать их в,困境，帮助他们重返社会,어려운 상황을 해결하여,
,,,より幸福な社会への,"общество, для",大家庭，共赴幸福生活。,보다 행복한 사회 생활을,
,,,再統合を目指すものです。,блага всего человечества.,,할 수 있도록 돕습니다.,
pc210,R・カレルレン,**:**,共生プログラムは速やかに,Программа Симбиоза,共生教育将在通告后迅速,공생 프로그램은 즉시,
,,,開始され、対象者を,направит своих участников,执行，引导实施对象走向,"시행되며, 대상자를",
,,,幸福に導きます。,к истинному счастью.,幸福。,행복으로 인도합니다.,
pc211,R・カレルレン,**:**,プログラムの実施に,Определённые секции,伴随此决定，,프로그램 실시에 따라,
,,,あたり、校内の一部,Гимназии теперь будут,校内的部分区域将划为,교내 일부 구역을,
,,,区域を侵入禁止と,закрыты для посещения на,禁区。,침입 금지 구역으로,
,,,させていただきます。,время действия программы.,,지정하겠습니다.,
pc212,R・カレルレン,**:**,対象者が経験する,"Из уважения ко всем трудностям,",请尊重实施对象,대상자가 겪은 모든,
,,,全ての苦難を尊重し、,"которые испытывают перевоспитываемые,",所经历的一切苦难，,"어려움을 존중하고,",
,,,プログラムが円滑に,"пожалуйста, содействуйте",并最大限度配合执行，,프로그램이 원활하게,
,,,進むようご協力を,выполнению новых,以确保教育方案能够顺利,이루어질 수 있도록,
,,,お願いいたします。,правил.,落地。,협조해 주십시오.,
pc213,R・カレルレン,**:**,今後も、カレルレンは,"Я, Кареллен, клянусь",卡列伦承诺将继续维护,R-카렐렌은 앞으로도,
,,,共生体の安全と幸福を,продолжать защищать,共生体的安全与秩序，,공생체의 안전과 행복을,
,,,守ることを,безопасность и порядок,捍卫诸位居民的幸福。,지켜드리겠다는 약속을,
,,,お約束いたします。,Симбиота любой ценой.,,이행할 것입니다.,
pc214,TODO,,なんなんだ、こいつ……,Какого хрена они задумали?,这家伙到底要干嘛……,"이 자식, 대체 정체가 뭐지……",
,,,とりあえずついていけばいいのか？,"Похоже, пока просто придётся смириться.",总之先跟着他走就行了吧？,일단 시키는 대로 해볼까……?,
pc215,ジョバンニ,,……,…,……,……,
pc216,ジョバンニ,,……くそ、やるしかない。,Чёрт побери… У меня не осталось вариантов.,……可恶，只能豁出去了。,"……젠장, 할 수밖에 없겠네.",
pc217,ジョバンニ,,よし、メインシステムを見つけた。,Вот он! Центральный компьютер.,好，找到主系统了。,"좋아, 메인 시스템을 찾았어.",
,,,あとはこのロックを解除するだけだ。,Теперь нужно его разблокировать.,接下来只要解除这道锁就好。,이제 이 장치만 해제하면 돼.,
pc218,ジョバンニ,,銀河鉄道のロックか……,Галактическая Железная Дорога…?,银河铁道的锁啊……,은하철도의 잠금 장치인가……,
,,,なんだ？　この防御コードは……,Что это за код повсюду?,这什么东西，防御代码……？,이 방어 코드는 대체 뭐지……?,
pc219,ジョバンニ,,外部から無理やり取り付けたのかな。,Это не часть оригинала.,是从外部强行添加上去的吗？,외부에서 강제로 설치했나?,
,,,やったのは……R・カレルレン。でも強引すぎて脆い構造になってる。,"Должно быть, это сделал Р. Кареллен.",作者是……R·卡列伦。但是手法太粗暴，结构非常脆弱。,설치자는… R-카렐렌이야. 하지만 강제로 설치해서인지 구조가 약해.,
