翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,機械の森が自己崩壊していくシーン……,"великолепно. Сцена, когда механический лес",机械之森自我崩毁的那一幕……,기계 숲이 스스로 사라지는 마지막 장면……,
,,,シリーズでも屈指の出来栄えなのではないでしょうか？,"начал самоуничтожаться, была самой",算得上全系列数一数二的高光场景吧？,시리즈 중에서도 굴지의 완성도 아닐까요?,
,,, ,потрясающей во всём сериале! , , ,
,,,批判されようと、私は評価します。, ,哪怕会挨喷我也吹定了。,비판을 받을지도 모르겠다는 평가입니다.,
,,,,"Независимо от того, что говорят критики, это",,,
,,,,был шедевр.,,,
pc514,＊,**:**,あのシーンは音楽の使い方も素晴らしかったですね。,Музыка в той сцене была просто безупречна.,那个场景的配乐也用得很巧妙。,"그 장면, 음악도 잘 사용했어요.",
,,,メインテーマの和声が徐々に崩壊していき、,"Когда главная тема заиграла, пока лес",主题曲的和声渐渐破碎，,"주 무대인 화성이 서서히 무너지다,",
,,,最後には沈黙へ。,"горел, всё просто ушло в затемнение...",到最后归为沉寂。,침묵으로 끝나는 그 장면 말이죠.,
,,,,Чистая поэзия.,,,
pc517,,,女　29歳,Женщина - 29 лет,女 29岁,여성   29세,
,,,エンテラ,Энтерра,恩特拉,엔테라,
,,,第96居住区　Ａ棟,"Район 96, Блок А",96号居住区 A栋,제96거주구 A동,
pc518,,,【スコアボーナス行動】,Возможность бонусных очков:,【加分行为】,[추가 스코어 행동],
,,,本日は「仕事」があります。,Сегодня рабочий день.,本日您有待完成的“工作”。,"오늘은 ""업무""가 있습니다.",
,,,アニメ制作の仕事を行いましょう！,Пора состряпать отличный эпизод!,请着手制作动画吧！,애니메이션 제작 업무를 진행하세요!,
pc519,,,住所：タイレニア,Адрес: Тиренния,地址：第勒尼亚,주소: 타이레니아,
pc522,,,あった。目的のデータだ。これをダウンロードして……,Вот целевые данные. Теперь нужно их скачать…,找到了。就是目标数据。把它下载下来……,"찾았어, 목표 데이터야, 이걸 다운로드하면…",
pc523,,,シーンが生成されました！,Генерация сцены завершена!,已生成场景！,장면을 생성하였습니다!,
,,,採用したい方を選択してください。,"Выберите задание, за которое хотите взяться.",请选择想要使用的场景。,채용 대상을 선택하세요.,
2nd2ho268,ジョバンニ,**:**,どこに行けばいい？,Куда мы идём?,我应该往哪里走？,어디로 갈 거야?,
2nd2ho269,ケイト,**:**,どうしよっか〜,Хм... Хороший вопрос!,往哪走呢〜,어디가 좋을까~,
2nd2ho270,ケイト,**:**,……公園とかどお？,О-о! Как насчёт площади?,……公园怎么样？,……공원은 어때?,
2nd2ho275,ケイト,**:**,ここは、みんなが遊びたい時に,"Это место, куда мы всегда ходим,",大家想一起玩的时候，,여기는 놀고 싶은,
,,,集まる広場だよ！,когда вся компания хочет,就会跑来这里！,사람이 모이는 곳이야!,
,,,いつでも誰でもウェルカムなんだ〜,потусить вместе!,这里是来者不拒的哦～,언제 누가 와도 환영이지~,
,,,,Здесь всем рады в любое время!,,,
2nd2ho276,ケイト,**:**,話しかければチャットルームに,"Просто кинь сообщение в чат,",只要去搭话，,말을 걸면 채팅방,
,,,招待してもらえるよ！,и мы вышлем тебе приглашение!,就会拉你进聊天室啦。,초대가 올 거야!,
2nd2ho277,ケイト,**:**,次いこ！,"Вперёд, к следующему месту!",去下个地方吧！,다음 장소로 가자!,
2nd2ho271,ジョバンニ,**:**,次はどうする？,Что будем делать дальше?,接下来去哪里？,다음은?,
2nd2ho272,ケイト,**:**,義体ショップとか？,Пойдём в магазин синтов!,嗯……义体商店去不？,의체 상점 어때?,
,,,歯車の看板のかわいいお店！,Это то место с большой,就是那个牌子上有齿轮的店，,톱니바퀴 간판이 있는,
,,,,шестернёй снаружи!,萌萌的！,귀여운 곳이야!,
2nd2ho273,ジョバンニ,**:**,次は？,Что теперь?,接下来呢？,다음 장소는 어디야?,
2nd2ho274,ケイト,**:**,橋行きたい！,Я хочу на мост!,人家想去桥上！,다리가 좋겠네!,
,,,ほら、この街に来る時,Помнишь?,就是那座红色的桥，,"그 왜, 이 마을에 왔을 때",
,,,通った、おっきな赤い橋！,"Это тот большой красный, через который ты переходил,",你来的时候也走过的！,지났던 거대한,
,,,,когда впервые сюда попал!,,빨간색 다리 말이야!,
2nd2ho278,ケイト,**:**,ここは「義体」ショップだよ！,Это магазин синтов!,这里是“义体商店”！,"여기가 ""의체"" 상점이야!",
2nd2ho279,ジョバンニ,**:**,義体？,Синтов...?,义体？,의체?,
2nd2ho280,ケイト,**:**,「義体」は、身体の代わりになる,"В смысле, синтетических частей",“义体”就是代替肉体的机器。,"""의체""는 신체를",
,,,機械のこと。,тела для киборгов.,是这个遗迹的古人用过的,대신하는 기계야.,
,,,この遺跡の人が使ってた,"Синты — это древняя технология,",古代科技！,이 유적에 살던 사람이,
,,,古代技術なんだって！,которую использовали люди.,大夫和拉比让我们也能用了。,쓰던 고대 기술이래!,
,,,ドクとラビが,"Док и Раби разобрались,",,독과 라비 덕에 우리도 ,
,,,使えるようにしてくれたの,как они работают!,,쓸 수 있게 됐어.,
2nd2ho282,ケイト,**:**,腕とか足はそんなでもないけど、,Руки и ноги в итоге,手啊脚的那些还好，,팔이나 다리는 ,
,,,高いやつは高いんだよねー,"стоят не так уж дорого,",但是贵的那种简直吓死个人～,"저렴한 편이지만,",
,,,おねーちゃんのは,но другие синты могут быть СУПЕР,像姐姐身上就每个都超贵的！,비싼 물건은 정말 비싸~,
,,,両方ともめっちゃ高いの！,"дорогими. У моей старшей сестры",,언니는 모두 비싼 것만 써!,
,,,,"все они супер навороченные, правда!",,,
2nd2ho283,ジョバンニ,**:**,おねーちゃん？,"Погоди, у тебя есть сестра...?",姐姐？,언니?,
2nd2ho284,ケイト,**:**,Wiおねーちゃん！　えへへー,"Хи-хи! Ага, это Ви!",Wi姐姐！嘿嘿～,Wi 언니 말이야! 에헤헤~,
,,,わたしたち血つながった姉妹なの,Мы кровные родственники.,我们两个是亲姐妹哦,우리는 친자매거든.,
2nd2ho285,ケイト,**:**,おねーちゃんの義体、,Моя сестра использует кучу,她的手和脊髓都是义肢，,언니가 쓰는 의체는 의수랑 ,
,,,義手も脊髄も複雑だし、,"специализированных синтов,",都很复杂，,"척수 구조도 복잡하고, ",
,,,脊髄は大事な部分が止まったら,"даже позвоночник. Если его",脊髓的重要部位一旦停运就会死，,특히 중요한 척수가 고장나면,
,,,死ぬから超高いの,"коротнёт, она умрёт.",所以超贵，维护也超麻烦的啦！,"죽으니 엄청나게 비싸고, ",
,,,メンテも大変そう！,Детали и обслуживание стоят,,정비도 힘들대!,
,,,,мега дорого!,,,
2nd2ho286,ジョバンニ,**:**,脊髄……,"Ого, у неё синтетический",Wi的脊髓是义体……,척수……,
,,,Wiのやつ、,"позвоночник...? Я и понятия",原来她身上还有这么多内情,Wi는 그런 것도,
,,,そんなの抱えてたのか,"не имел, что ей приходится",,갖고 있었구나.,
,,,,со всем этим справляться...,,,
2nd2ho287,ケイト,**:**,ここのひとは,Здесь у каждого из нас ,这里的人嘛～,여기 사는 사람은,
,,,みんな、,свои заморочки. ,多多少少都有一些故事的,다 각자 사정이 있거든~,
,,,いろいろ事情あるからねー,"Но эй, такова жизнь.",,,
2nd2ho288,ケイト,**:**,……でも、なんかいいよね,"Представь, одна часть перестаёт",……但停运了就会死的,……그렇지만 멈추면 ,
,,,止まったら死ぬ義体,"работать, и ПУФ! Конец игры...",义体其实挺棒的,"죽는 의체라,",
,,,,"Звучит довольно мило, вообще-то.",你不觉得吗？我挺向往的,왠지 멋지지 않아?,
2nd2ho289,ケイト,**:**,ケイトもいつか,"Мои ноги и глаза модифицированы,",要是有一天凯特也能拥有,케이트도 나중에 복잡한 ,
,,,複雑な義体ほしいなあ,но я хочу больше синтов.,复杂的义体就好了,의체를 갖고 싶어. ,
,,,足と目はとったんだけど、,"Например, руки, как у сестры!",腿和眼睛已经换过了，,"다리와 눈은 바꿨는데,",
,,,腕はドクがやめとけってさー,"Но Док сказал мне, что с ними",但是大夫一直劝人家不要动胳膊～,팔만큼은 독이 뜯어말렸어.,
,,,,слишком много мороки.,,,
2nd2ho291,ケイト,**:**,次いこ！,"Так, дальше!",去下个地方吧！,다음 장소로 가자!,
2nd2ho292,ケイト,**:**,この橋はスプロール・ハイヴ,С этого моста открывается самый,这座桥是整个蔓生之巢,이 다리에서는 ,
,,,いちの絶景スポット♡,захватывающий вид во всех,最漂亮的景点♡,스프롤 하이브 최고의,
,,,,Ульевых Просторах.,,경치를 볼 수 있어♡,
,,,,"Романтично, а?",,,
2nd2ho293,ケイト,**:**,上にも下にも,"Куда ни посмотри, вверх или",你抬头往上看！是不是很壮观？,지하 도시가 위아래로,
,,,ずーっと地下都市が続いてるの！,"вниз, открывается вид на",再低头看看！,쭉 펼쳐져 있거든!,
,,,すごいよね？,"подземелье, насколько хватает",也是无穷无尽的地底都市哦～,굉장하지?,
,,,,глаз...,厉害不厉害？,,
,,,,Разве не великолепно?,,,
2nd2ho294,ケイト,**:**,ここはね、昔……地球の、,В былые времена рабочие,据说这里啊……,과거에 이곳은……,
,,,「労働者」ってひとたちが、,с Земли нашли эту планету и,是从前来自地球的，,"지구에 있던 ""노동자""라 ",
,,,この惑星を開拓するために,построили весь этот город с нуля.,嗯……“劳工”？,불리던 사람들이,
,,,作った街なんだって。,,为了开拓这颗星球而建立的城市。,이 행성을 개척할 ,
,,,,,,목적으로 만들었대.,
2nd2ho295,ケイト,**:**,なんかさ……,Смотрю на это сейчас...,感觉知道了这个……,있지……,
,,,不思議な気分になるよね。,Разве это не странно?,再看就会很感慨。,보고 있으면 기분이 이상해.,
2nd2ho296,ケイト,**:**,こんなに広い場所なのに……,"Теперь, когда мы остались одни, ",这里这么大……,이렇게 넓은 곳인데……,
,,,ここで生きてるのは、,весь этот огромный мир ,活物却只有我们。,여기서 사는 사람이 우리 ,
,,,わたしたちだけなんだ。,принадлежит только нам...,,뿐이라니 말이야.,
2nd2ho297,ケイト,**:**,地球のみんなは、,Все эти Земляне... ,那些地球人，,지구에 있던 사람들은,
,,,どこ行っちゃったんだろう……,Их больше нет.,到底都跑到哪里去了呢……？,다들 어디로 간 걸까……,
,,,,"Интересно, где они сейчас...",,,
2nd2ho298,ケイト,**:**,ね、ジョー君は知ってる？,"Как думаешь, куда",阿乔，你知道吗？,"저기, 조는 알아?",
,,,,"мы отправляемся, когда всё",,,
,,,,заканчивается?,,,
2nd2ho300,ケイト,**:**,ここから飛び降りたら,Если бы мы спрыгнули с этого моста,不知道从这里跳下去，,여기서 뛰어내리면,
,,,みんなに会えるかな？,"прямо сейчас... Как думаешь,",是不是就能见到那些人了。,만날 수 있을까?,
,,,,"мы бы оказались там же, где и они?",,,
2nd2ho302,ケイト,**:**,なんてね！,"Ха-ха, шучу! Тебе бы",没有啦！,장난이야!,
,,,じょーだん！,видеть своё лицо!,我随便说说的！,그냥 해본 말이지롱~!,
2nd2ho303,ケイト,**:**,次いこ！,Есть ещё одно место!,去下个地方吧！,다음 장소로 가자!,
2nd2ho304,ケイト,**:**,さいご！　目的地は,"И последнее, но не менее важное,",咱们的最后一站！,마지막 목적지는,
,,,ピンクでハートのかわいい,"мы идём туда, где нам будет",是粉粉嫩嫩可可爱爱的,귀여운 분홍색 하트가,
,,,建物だよ！,поудобнее!,心心房子！,달린 건물이야!,
2nd2ho306,ケイト,**:**,このホテルかわいいよね〜♡,Разве этот отель не само,这个宾馆是不是很可爱呀〜♡,"이 호텔, 귀엽지~♡",
,,,無料で泊まれるんだよ！,очарование? И что самое лучшее —,可以免费住宿，不收钱呢！,숙박비도 공짜야!,
,,,,он бесплатный!,,,
2nd2ho307,ケイト,**:**,……,...,……,……,
,,,じゃ、いこっか,Ну же! Пойдём внутрь!,那就走吧,"그럼, 갈까?",
2nd2ho308,ジョバンニ,**:**,どこに？,Внутрь? Куда внутрь?,去哪里？,"가다니, 어디로?",
2nd2ho309,ケイト,**:**,もちろん、ホテルの部屋だよ。,"Ну конечно, в отель, глупышка!",当然是房间里呀。,당연히 호텔 객실이지.,
,,,はいろ♡,Мы можем снять номер!,我们可以一起开一间房♡,들어가자♡,
2nd2ho311,ケイト,**:**,どうしたの？,"Что не так, Джо-Джо?",你去哪里呀？,왜 그래?,
,,,ホテルの入り口はこっちだよー！,Сюда!,大门在这边哦～！,호텔 입구는 이쪽이야~!,
2nd2ho266,ケイト,**:**,れっつごー！,ПошлИИИ!,Let's Gooooo！,Let's Go~!,
pc526,ケイト,**:**,やんだ,можешь мне помочь,没劲,시러,
pc527,ケイト,**:**,むり,мне щас не оч.,受不了了,모테,
pc528,ケイト,**:**,あーあ死にたい,я больше не могу.,唉好想死,아~ 죽고 시퍼,
pc529,ジョバンニ,**:**,どうした？,Что случилось?,怎么啦？,왜 그래?,
pc530,ケイト,**:**,ねえ,"пожалуйста, джо-джо",唉,있지,
pc531,ケイト,**:**,しんどい,можешь прийти,我好难受,죽을 것 같아,
pc532,ケイト,**:**,はやくきて,мне так грустно,你快过来,빨리 와,
pc533,,,方向キー：移動（左右のみ）,Движение (Влево или Вправо): Нажмите ←→,方向键：移动（仅左右）,방향키: 이동(좌우로만),
pc534,,,確定キー：穿刺（針を進める）,Укол (Игла): Нажмите Пробел,确定键：穿刺（推进针头）,확인 키: 채혈,
pc535,,,なんだこれ。ノイズだらけで全然聞き取れない……,Что это? Сплошной шум.,这什么啊？全是干扰，根本听不清楚……,뭐지? 노이즈가 끼어서 전혀 알아들을 수 없어……,
,,,「チューニング」しないといけないかな。,"Надо бы немного ""поднастроить"".",可能需要“调频”一下才行。,조정해야 하나?,
pc536,,,見た！？！？,Ты видел?!,你看了没？！？！,봤어?!,
pc537,,,見た！！！！,Я видел!!!,看了！！！！,봤어!!!,
,,,流石にこれはえぐいしやばい！！,Это было совершенно дико!,我靠这次真的太牛逼了太牛逼了！！,"이거, 역시 짱이야!!",
pc538,,,「フラグメント・ファンタジア７章見て」しか,"Теперь я типа, по сути, R, который просто говорит:",我已经变成只会复读,프래그먼트 판타지아 7장을 봐 라는,
,,,言えないRになっちゃった,«Смотрите 7-й сезон Фрагмента Фантазии!» на повторе.,“谁还没看碎片幻想曲第7章”的R了,말밖에 할 줄 모르는 R이 되어버렸어,
pc539,,,いやでもありえんくらいやばい,"И концовка была такая хорошая. Блин, вообще.",不是我说真的，真的离谱,그렇지만 정말 말도 안 되게 짱이네,
pc540,,,最後、意味深に映った,"Типа, последняя сцена? С этой цветочной символикой?",最后那个意味深长的花的镜头，,마지막에 의미심장하게,
,,,花の花言葉がさ……,"Метафоры. СЛОИ! Просто... ммм, пальчики оближешь.",它的花语其实是……,언급한 꽃의 꽃말 말인데……,
pc541,,,は〜〜〜〜（くそでかため息）,"О боже, перестань! Я НЕ МОГУ.",唉〜〜〜〜（巨大叹气声）,하~ (깊은 탄식),
pc542,,,フラファンくん、ほんっと！,Это было так в стиле ФрагФан.,符拉凡啊！真的是！,"아, 진짜, 플라판!",
,,,そういうことするよね〜！,"Типа, классический ФрагФан.",做得出那种事的家伙啊！,그렇게 나왔단 말이지~!,
pc543,,,……これでいいのか？,Стоит ли мне это делать?,……这就行了吗？,……이거면 충분하겠지?,
,,,（なんか、すごく悪いことをしてる気分になるな……）,Это похоже на вторжение в частную жизнь...,（总感觉在干一件特别亏心的事……）,(어째 굉장히 나쁜 짓을 하는 것 같은데……),
pc552,Wi,**:**,今日の依頼だ。,Сегодняшнее задание — ниже.,今天的活儿。,오늘 할 의뢰야.,
,,, , , , ,
,,,目標データ：,Целевые данные:,目标数据：,목표 데이터:,
,,,Fragment_Fantasia_talk.mp3,Фрагмент_Фантазии_разговор.mp3,Fragment_Fantasia_talk.mp3,Fragment_Fantasia_talk.mp3,
,,,R-code：,R-код:,R-code：,R-codes:,
,,,Brave New World - 8907DF21,О Дивный Новый Мир - 8907DF21,Brave New World - 8907DF21,Brave New World - 8907DF21,
pc553,Wi,**:**,終わったら,"Как обычно, зайди",等你弄完，,일을 끝내면,
,,,いつも通り、あたしの部屋まで,"в мою комнату, как только",老样子来我房间报告。,내 방으로,
,,,見せに来い。,закончишь.,,와서 보고해.,
pc554,,,よし、目標データを手に入れた。,"Так, я достал целевые данные.",好，拿到目标数据了。,"좋아, 목표 데이터를 찾았어.",
,,,Wiの部屋まで報告に行こう。,Отнесу их в комнату Ви.,去Wi房间报告吧。,Wi의 방으로 가서 보고하자.,
pc556,ユミ,**:**,いつもの場所,Приходи на то же место.,老地方,늘 있던 곳으로,
,,,今すぐ,Так.,等你,와라,
,,,来い,Сейчас же.,快来,지금 당장,
pc557,ユミ,**:**,今すぐ,Немедленно.,别磨蹭,지금,
pc558,ユミ,**:**,今すぐ！！！！,*НЕМЕДЛЕННО!,快点儿！！！！,당장!!!,
pc559,,,……な、なんだ……？　ただ事じゃない雰囲気だけど……,Ох... Что теперь?,什、什么事啊……？好像很不得了……,"……무, 무슨 일이지……? 평범한 상황은 아닌 것 같은데……",
pc561,ドク,**:**,ちょっと事情があって、,Возникла проблема.,碰上点麻烦事，,사정이 좀 생겼다.,
,,,Wiはこっちで休ませてる。,Ви здесь отдыхает.,Wi现在在我这休息。,Wi는 여기서 안정 중이야.,
pc562,ドク,**:**,ついでにWiのことで,Мне нужно поговорить с,顺便我有话想跟你说，,거기다 Wi에 관한 일로,
,,,話があるんだが、,тобой о ней. Можешь,是关于Wi的。,"할 이야기가 있으니,",
,,,診療所まで来てくれるか？,прийти в клинику?,你能来诊所一趟吗？,진료소까지 와 주겠나?,
pc563,ドク,**:**,診療所へは、,Она находится дальше по,公园右边有条路，,진료소는,
,,,公園の右側の道から,"дороге, с правой стороны",你沿着那边走，,공원에서 오른쪽으로,
,,,行けるはずだ。,от парка.,就能到诊所了。,빠지면 보일 거다.,
pc564,,,診療所……？　何かあったのか？,"О, нет... Интересно, что случилось.",去诊所……？出什么问题了吗？,진료소……? 무슨 일 있었나?,
pc565,,,ともかく、行ってみよう。,Надо пойти проверить.,总之，过去看看吧。,일단 가 보자.,
pc574,Wi,**:**,今日の仕事は無しだ。,На сегодня работы нет.,今天没活让你干。,오늘 할 일은 없어.,
,,,代わりに頼みがある。,Вместо этого у меня есть просьба.,但有件事想请你帮忙。,대신 부탁 하나 좀 할게.,
pc575,Wi,**:**,詳しくはドクから,Док введёт тебя в,详细你去问大夫吧。,자세한 이야기는,
,,,聞いてくれ。,курс дела.,,독에게 듣도록 해.,
pc576,ドク,**:**,今日の件だが……,"Так, насчёт этой просьбы...",我今天要给Wi做维保。,오늘 부탁할 건 말이다만……,
,,,Wiのメンテナンス時の,"Ви хочет, чтобы ты был наготове",找你帮忙，是想请你到时候,Wi를 점검할 동안,
,,,待機要員を頼みたい。,во время её техобслуживания.,在旁边待命，以防万一。,대기 요원을 맡아 줬으면 한다.,
pc577,ドク,**:**,まずは、俺の診療所まで,"Приходи в мою клинику, и",详细的你来诊所再谈。,자세한 이야기는 진료소에서,
,,,来てくれ。,я всё объясню.,,"할 테니, 그쪽으로 오거라.",
pc579,ジョバンニ,**:**,診療所についた。,Я в клинике.,我到诊所了。,진료소에 도착했어요.,
pc580,ドク,**:**,今、開けるよ。,Хорошо. Я тебя впущу.,我给你开门。,"그럼, 문을 열지.",
pc581,,,くそ……！　情報量が……,Агрх! Столько данных...,可恶……！信息量太大……,젠장……! 정보량이……,
,,,意識がぼやける……,Зрение расплывается...,头……好晕……,의식이 흐려져……,
pc582,,,……ダメだ！　やるんだ！,...Нет! Я должен это сделать!,……不行！必须去做！,……안 돼! 꺾이지 마!,
,,,もう一度……！,Мне нужно проявить себя...,再来一次……！,한 번 더……!,
pc583,,,ゼロデイに、力を証明……するんだ……！,Доказать свою ценность,我要向零日……证明自己的实力……！,Zero Day에…… 내 능력을 보여줘야 해……!,
,,,,«Нулевому Дню»!,,,
pc584,ケイト,**:**,入団記念！！,Добро пожаловать в семью!!!,入队纪念！！,입단 기념!!,
hijiki_tsuika54,スプロール・ハイヴ一時チャット,**:**,Wiさま。。。。。,"О, Ви...",女神。。。。。,Wi 님……,
,,,はあ。。。。,Дорогая Ви...,啊啊啊。。。。。,하아……,
hijiki_tsuika55,スプロール・ハイヴ一時チャット,**:**,Wiはネズミを,"Ви — это богиня, которая",Wi就是引领我们,Wi는 쥐를,
,,,導く女神なの,поведёт крыс за собой.,老鼠的女神啊,인도하는 여신이야,
hijiki_tsuika56,スプロール・ハイヴ一時チャット,**:**,ゼロデイは……,А «Нулевой День» — это,零日……,Zero Day는……,
,,,Wiを護る,"рыцари, что защищают",是守护在Wi身边的,Wi를 지키는,
,,,＋騎士＋かな？,богиню Ви!,＋骑士团＋吧？,+기사+일지도?,
hijiki_tsuika57,スプロール・ハイヴ一時チャット,**:**,お前がゼロデイに,"Это ты тот парень, что",你就是那个每天,"너, Zero Day에",
,,,出入りしてる奴か？,наведывался в «Нулевой День»?,都往零日跑的小毛头？,드나드는 녀석이지?,
hijiki_tsuika58,スプロール・ハイヴ一時チャット,**:**,それで仲間に,"Даже не думай, что",别以为每天去露个脸，,그깟 일로 동료가,
,,,なれたって勘違い,"это делает тебя одним из них,",你就成他们的人了！,되었다고 착각하지,
,,,すんなよ！,понял?! Этому не бывать!,,말라고!,
hijiki_tsuika59,スプロール・ハイヴ一時チャット,**:**,ケイト様って,Кейт вроде как должна быть,凯特是Wi女神的,"케이트 님,",
,,,妹なんだよね！,"её сестрой, да?",妹妹吧？,여동생이었구나!,
hijiki_tsuika60,スプロール・ハイヴ一時チャット,**:**,尊い～～！！,"О, это так мило!",好尊啊～～！！,멋져~~!!,
hijiki_tsuika61,スプロール・ハイヴ一時チャット,**:**,私もWiさまと,"Эх, вот бы я тоже была",要是我也跟女神,나도 Wi 님과,
,,,血のつながり,родственницей Ви!,有血缘关系,같은 가족이었으면,
,,,ほしい～！！,,那该多好啊～！！,좋을 텐데~!!,
day15_554,Wi,**:**,せっかくだし、,"Эй, почему бы нам не сделать",喂，难得你来了，,"모처럼 시간을 냈으니,",
,,,寄り道していかないか？,крюк? По старой памяти.,要不要顺道跟我去个地方？,다른 곳으로 가볼까?,
day15_555,ジョバンニ,**:**,寄り道って？,Крюк?,去什么地方？,다른 곳이라니?,
day15_556,Wi,**:**,秘密の抜け道があるんだよ。,Я знаю тайный ход.,我知道一条秘密通道。,나만 아는 비밀 통로가 있거든.,
day15_557,Wi,**:**,まずは橋まで行こう。,Пойдём сначала на мост.,总之先到桥上去吧。,일단 다리로 가자.,
day15_558,Wi,**:**,なあ、ちょっと相談が,"Эй, я хочу с тобой посоветоваться",喂，,"저기, 잠깐 의논하고",
,,,あるんだけどさ。,кое о чём.,我有件事想跟你商量商量。,싶은 게 있는데……,
day15_559,Wi,**:**,まずは橋まで行こう。,Пойдём сначала на мост.,总之先到桥上去吧。,일단 다리로 가자.,
day15_560,Wi,**:**,この下だ。,"Он там, внизу.",就在这下面。,이 아래야.,
pc578,,,\C[1]（ラビがくれた……。開けろってことか？）,"\C[1](Раби... хочет, чтобы я это открыл?)",\C[1]（拉比递来这个……是要我打开它？）,\C[1](라비가 준 이거…… 열어보라는 건가?),
pc585,,,\C[1]（へえ、ランダムでカードが入ってるのか）,\C[1](О! Случайные карточки.),\C[1]（哦，能开出不同种类的卡片……）,"\C[1](아, 카드가 무작위로 들어 있구나.)",
pc586,,,\C[1]（自販機で買えるみたいだ。,"\C[1](Похоже, я могу купить ещё в",\C[1]（售货机好像就能买到。,\C[1](자판기에서 구할 수 있나 보네…,
,,,\C[1]……ちょっと気になるな……）,\C[1]торговом автомате... Хм.),\C[1]……有点想再试试……）,\C[1]나중에 한 번 볼까…),
pc600,読め.txt,,ジョバンニへ,"Привет, салага.",乔班尼：,조반니에게,
,,, , , , ,
,,,「ドリーマー」をダウンロードしておいてくれ。,"Перейду сразу к делу. Мне нужно, чтобы ты скачал",你先把“梦想家”这个程序下载过去。,드리머를 다운로드해 둬.,
,,,お前の端末でも動作するはずだ。,«Мечтателя». Ты сможешь запустить его и на своём ПК.,在你那台上面应该也能运行。,네 PC에서도 쓸 수 있을 거야.,
,,, , , , ,
,,,このソフトはメンバーにも極秘に,"Это сверхсекретная программа, которую я разработала — даже члены",这个软件是我独立开发的，,이 프로그램은 다른 멤버들 몰래,
,,,あたしが開発した独自のプログラムだ。,"«Нулевого Дня» о ней не знают. Но хорошая новость в том, что это значит,",对其他成员严格保密。,내가 독자적으로 개발한 프로그램이야.,
,,,これだけは、カレルレンにも感知されてない,Кареллен тоже о ней не знает.,就连卡列伦那边，别的东西不说，,제아무리 카렐렌이라도 이 프로그램은,
,,,はずだ。,...Кажется.,这个它应该也没感知到。,감지할 수 없을 거야.,
,,, , , , ,
,,,”Boyhood”以外からのアクセスを検知した瞬間に,"Я настроила этот ПК так, чтобы он автоматически стирал все данные, если",我事先设置好了，如果这台电脑检测到除了,”Boyhood” 외에 다른 곳에서 접근하는 즉시,
,,,このPCのデータは全て消去するように設定してある。,"кто-то, кроме тебя, попытается получить к нему доступ.",“Boyhood”之外的任何访问，就清空所有数据。,데이터를 전부 삭제하도록 설정했거든.,
,,, , , , ,
,,,けど念のため、必要なものをダウンロードしたら,"Но, просто на всякий случай, я хочу, чтобы ты уничтожил",但是保险起见，等你下好该下的东西，,그래도 만일을 대비해 데이터를 받으면,
,,,PCを物理的に破壊しておいてくれ。,"этот ПК после того, как закончишь загрузку.",就物理破坏这台电脑吧。,PC를 물리적으로 파기해 줘.,
,,,あたしにはもう必要ないから。,"Не волнуйся, он мне больше не понадобится.",反正我以后也用不着它了。,나는 더 이상 필요 없으니까.,
,,, , , , ,
,,,死ぬつもりはない。,"И нет, я также не планирую умирать.",放心，我没打算死。,죽을 생각은 없어.,
,,,あんたのおかげで目は覚めてる。,"На самом деле, всё как раз наоборот. Благодаря тебе, я наконец",多亏你那番话，把我给震醒了。,오히려 네 덕분에 눈을 떴지.,
,,,夢をあきらめてもいない。,проснулась. И я никогда не откажусь от своей мечты.,我也没有放弃我的梦。,꿈을 포기할 생각도 없어.,
,,, , , , ,
,,,お互い生きて、地上で会おう。,Когда всё это закончится... мы снова встретимся на поверхности.,咱们都想办法保命，到地面上见吧。,"함께 살아서, 지상에서 만나자.",
,,,ドリーマーについては、その時に。,"Когда этот день настанет, я всё объясню — так что не умирай.",关于梦想家的详情，届时再聊。,드리머에 관한 건 그 뒤에 알려 줄게.,
pc601,ジョバンニ,,Wi……無事なのか……？　どこにいるんだろう……,"Ви... Где бы ты ни была, надеюсь, с тобой всё в порядке.",Wi她……没事吗？她会在哪里呢……,Wi는… 괜찮을까……? 대체 어디 간 거지……,
pc602,創始者より.txt,,Wiへ,"Дорогая Ви,",Wi：,Wi에게,
,,, , , , ,
,,,「エクリプター」の使い方について。,Я доверяю тебе инструкции к моему «эклипсеру».,“障目”的使用方法我写在这里。,이클립터 사용법을 알려 주마.,
,,, , , , ,
,,,Ｒは、この図形を視野に入れると,"Это узор, который я разработал, чтобы маскировать наше присутствие от вражеских R,",这个图形一旦进入R的视野，就会诱发认知障碍。,이 도형을 인식한 R은 장애를 일으킬 거다.,
,,,認識障害を引き起こす。,"вмешиваясь в работу их сенсоров. По сути, его использование",也就是说，所有画着“障目”印记的东西R都看不见。,"즉, R은 이클립터를 새긴 물체를 판단할 수 없어.",
,,,つまり、エクリプターが書かれているものは,"сделает тебя невидимой. Но чтобы он сработал, узор должен",,,
,,,Ｒには見えないってことだ。,"быть скопирован В ТОЧНОСТИ. Если хоть один пиксель будет не на месте, это",但你要当心，如果R没能完全识别图形，,"단, 도형을 똑바로 새기지 않거나, R의 시야에",
,,, ,может означать твою гибель — так что рисуй его сразу в нескольких размерах!,或者只扫描到图形的一部分，它就不会生效。,들어오지 않으면 효과가 발생하지 않으니 주의하거라.,
