翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc146,ジョバンニ,,ハッキング、開始。,Begin hacking.,骇解，开始。,해킹 개시.,
pc147,ジョバンニ,,掌握成功。えーと、依頼は何だっけ。,"I'm in... Now, for the job.",掌握成功。呃……委托内容是什么来着。,"장악 완료. 어디, 의뢰가 뭐였더라?",
,,,これの記録から「恋人の浮気の証拠を探す」だったか……？,They want proof of infidelity.,好像是从记录里找出搞外遇的证据吧……？,"""바람을 피우는 증거""를 찾아 달랬지…?",
pc148,ジョバンニ,,……見つけた。これをダウンロードして……,"Found it. Download, and…",……找到了。把这段下载下来……,…찾았다. 이걸 다운로드하면…,
,,,よし。,Done!,完成。,됐어.,
pc149,TODO,,例の場所で依頼者に報告して、,"I should report back to the client, get",去那个地方跟委托人报告，,돌아가서 의뢰인에게 보고하고,
,,,医療費を振り込もう。,"the reward, and then pay Mom's bills.",用酬劳付医药费吧。,의료비를 입금하자.,
pc150,ハンドラー,**:**,完了しました。,It's done.,完成了。,완료했습니다.,
,,,確認してください。,See for yourself.,请确认。,확인해 주세요.,
pc151,＊,**:**,確認しました！,So I was right. Thank you.,确认完毕！,확인했어요!,
,,,ありがとうございます。,I appreciate your help.,太谢谢了。,감사합니다.,
,,,報酬を振り込みました！,I've sent you the payment.,酬金已经打给你了！,보수는 보내 드렸습니다!,
pc236,,,高額な入金がありました,New payment received.,您有一笔高额收款,고액 입금을 확인하였습니다,
pc152,AI,**:**,ご利用いただきありがとうご,Transaction confirmed.,感谢您使用我院服务。,이용해 주셔서 감사합니다.,
,,,ざいます。,We appreciate all of our,我们已收到您的汇款。,입금을 확인하였습니다.,
,,,入金の確認ができました。,patients and customers.,感谢您的配合。,감사합니다.,
,,,ありがとうございます。,Thank you.,,,
pc153,TODO,,教室に急ごう。,I need to get to class.,抓紧去教室吧。,서둘러 교실로 가자.,
pc234,R・カレルレン,**:**,次の授業は宙理学です。,Next class: Astrography,下一节课是宙理学。,다음 수업은 우주 이치학입니다.,
,,,教室には余裕をもって,Please arrive to class,前往教室时请提早准备，,수업 전에 미리,
,,,到着しましょう。,before it begins.,切勿匆忙。,교실에 도착하십시오.,
,,,⚠︎遅刻した場合、人間,Tardiness will reduce,⚠︎一旦迟到，将相应扣除,⚠︎수업에 늦으면 인간,
,,,スコアが低下します。,your human score.,您的人类评分。,스코어가 떨어집니다.,
pc254,R・カレルレン,**:**,授業開始まであと１分です。,Class will begin in one minute.,您的课程将在1分钟后开始。,1분 뒤에 수업을 시작합니다.,
,,,遅刻しないようにしましょう。,Please make sure to be on,请注意不要迟到。,늦지 않도록 주의하십시오.,
,,,遅刻した場合、人間スコアが,time.,一旦迟到，将相应扣除您的,수업에 늦으면 인간 스코어가,
,,,低下します。,Tardiness will reduce your,人类评分。,떨어집니다.,
,,,,human score.,,,
pc255,R・カレルレン,**:**,食堂が利用可能です。,Cafeteria access granted.,您可以前往食堂了。,식당을 이용할 수 있습니다.,
,,,毎日の食事で人間スコア,Ensuring proper daily nutrition,完成每日用餐，,매일 식사를 하면,
,,,が上昇します。,will raise your human score.,将提升您的人类评分。,인간 스코어가 오릅니다.,
,,,お早めにご利用ください。,Please nourish your body,请尽早前往。,서둘러 이용해 주십시오.,
,,,,appropriately.,,,
pc256,R・カレルレン,**:**,食堂はこちらの通路です。,The cafeteria is down,如需使用食堂，,식당은 이쪽 통로입니다.,
,,,お間違えのないよう,the hall. Please refrain,请沿指示路线前往。,다른 길로 가지 않도록,
,,,ご注意ください。,from taking any detours.,请注意不要走错。,주의해 주십시오.,
,,,⚠︎スタイラス様の場合、,"Caution: Mr. Stylus, you",⚠斯泰拉斯同学，,⚠︎스타일러스 님은,
,,,通行ミスは人間スコア,will be penalized for,若您未遵从正确路线，,인간 스코어 감점 항목 중,
,,,減点対象です。,unauthorized detours.,需扣除人类评分。,통행 실수 적용 대상입니다.,
pc257,R・カレルレン,**:**,そちらは食堂ではありません。,That is not the way to the,那边不是食堂。,여기는 식당이 아닙니다.,
,,,食堂はこちらの通路です。,cafeteria.,请沿指示路线前往。,식당은 이쪽 통로입니다.,
,,,お間違えのないよう,The cafeteria is down this,务必注意不要走错。,다른 길로 가지 않도록,
,,,ご注意ください。,hall.,,주의해 주십시오.,
,,,,Please do not make any,,,
,,,,unnecessary stops on your,,,
,,,,way to the cafeteria.,,,
pc258,R・カレルレン,**:**,足元の階段に,Please watch your step,请注意脚下阶梯。,계단을 내려갈 때는,
,,,お気をつけください。,when using the stairway.,,발 밑을 조심하세요.,
,,,⚠︎スタイラス様の場合、,"Caution: Mr. Stylus, you",⚠斯泰拉斯同学，,⚠︎스타일러스 님은,
,,,転倒で人間スコアが,will be penalized for,若您在上下楼梯时摔倒，,넘어질 때마다 인간,
,,,減少します。,any loss of footing.,需扣除人类评分。,스코어가 감소합니다.,
,,,,footing.,,,
pc235,R・カレルレン,**:**,学食の終了まで,Dinner service will end,学生食堂将于20分钟后停止营业。,20분 뒤에,
,,,あと20分です。,in 20 minutes.,,급식을 종료합니다.,
,,,まだお食事をされて,Students who have not,如您还未用餐，,아직 식사를 마치지,
,,,いない場合は、お早めに,"yet eaten, please eat",请尽快完成用餐。,않은 분은 서둘러,
,,,お召し上がりください。,as soon as possible.,,식사를 끝내 주십시오.,
pc253,,,……まずいな。早く食べないと……,This is bad… I need to hurry up and eat.,……糟糕。要抓紧了……,야단났네… 빨리 먹어야 하는데…,
pc204,TODO,,病院から通知？　なんだろう？,A ping from the hospital? What about?,医院发消息给我？什么事啊？,병원이잖아? 무슨 일이지?,
pc154,AI,**:**,重要なお知らせです。,IMPORTANT NOTICE:,重要通知：,중요한 공지입니다.,
,,,Ｒ・カレルレンの決定に,R. Karellen has enacted,经卡列伦决定，,R-카렐렌의,
,,,より、,a new policy. Those,,"결정에 따라,",
,,,人間スコアが０未満の方の,with scores under zero,人类评分低于0者,인간 스코어 0 미만인,
,,,治療には保険が適応されず、,and their dependents,不再适用医疗保险，,분의 치료는 보험이,
,,,全額実費が請求される,will no longer benefit from,今后对于此类患者，,"적용되지 않으며, 전액",
,,,ことになりました。,medical insurance.,将全额以现金收取医药费。,실비로 청구됩니다.,
pc155,AI,**:**,トーシア・スタイラス様,10% of Ms. Stylus',托西娅·斯泰拉斯女士,토시아 스타일러스 님은,
,,,の場合、現在の自己負担,treatment has been,当前自负比例为10%，,현재 본인 부담금,
,,,割合は10％です。,paid. The remaining 90%,,10% 대상자입니다.,
,,,差額の90％分にあたる,is now due in full.,为补足余下90%差额，,"이에 차액분의 90%,",
,,,"972,000eのお支払いを",Please submit your,"您还须支付972,000e。","972,000e의 금액을",
,,,お願いいたします。,"payment of 972,000e.",,준비해 주십시오.,
pc156,ジョバンニ,,全額実費、って、なんだそれ……,I have to pay in full?!,全额？现金？什么鬼……,"무슨 소리야, 전액 실비라니….",
pc157,AI,**:**,支払期限は、,Please pay by the end of,缴纳期限最晚为本月末。,지불 기한은 이번 달,
,,,今月末となっております。,the month. If no payment,,말일까지입니다.,
,,,期限を過ぎた場合、,"is received, treatment",若您逾期仍未缴纳，我们将,기한 내에 지불하지 않으면,
,,,現在の治療が中断されます。,will be terminated.,中断当前的所有治疗。,현재 치료가 중단됩니다.,
,,,治療が中断されると、,Termination of treatment,治疗一旦中断，可能影响,치료를 중단하면,
,,,トーシア様の健康状態に,may have a negative,托西娅女士的健康状况。,토시아 님의 건강에,
,,,影響が出る可能性が,impact on Ms. Stylus',,큰 영향이 발생할,
,,,ございますので、,"well-being. As such, it",,"수 있으므로,",
,,,早めのお手続きを,is recommended that you,因此，请您尽早办理相关,되도록 빠르게,
,,,お願いいたします。,submit payment ASAP.,手续，结清欠款。,처리해 주십시오.,
pc158,ジョバンニ,,はぁ！？　今月末……！？　そんなの無理に決まってるだろ！,That's literally impossible!,啥？！这个月底……？！怎么可能拿得出来！,뭐?! 이번 달 말…?! 불가능하다고!,
,,,ついに計算すらできなくなったのか……！？,Did their systems get fried?!,那帮呆子现在连账都不会算了吗……？！,이제는 계산 기능까지 망가진 거야…?,
pc159,ジョバンニ,,支払期限って、……,I won't make it…,……缴纳期限…………,지불 기한……,
,,,どっ……どう、すれば……,What… What do I do?,怎、……怎、怎么办……,이걸…… 어쩌면 좋지……,
pc160,TODO,,また通知だ……,Another notification…,又有新消息……,또 알림이네……,
,,,今度は「例の場所」から？,From the secret spot this time?,这次是“那个地方”发来的？,"이번에는 ""그곳""이잖아?",
pc161,名無し2.4.5,**:**,@ハンドラー,@Handler,＠Handler,＠핸들러,
,,,\C[18]カレルレンの思考アルゴリズムに侵入してほしい。,\C[18]I want you to hack Karellen's sentience algorithm.,\C[18]我想请你入侵卡列伦的思维算法。,\C[18]카렐렌의 사고 알고리즘에 침입해 줬으면 한다,
,,,, , , ,
,,,"\C[18]報酬金額：10,000,000e","\C[18]Reward: 10,000,000e","\C[18]酬金：10,000,000e","\C[18]보수: 10,000,000e",
pc162,ジョバンニ,,え……？　なんだこれ……僕への依頼？,Huh? Is… Is this a job?,啊……？这是……给我的委托？,뭐…? 이게 뭐야… 지명 의뢰?,
pc163,ジョバンニ,,カレルレンへ侵入してほしい、って……,Hack into Karellen…?,请我入侵卡列伦……,카렐렌에 침입하라니……,
,,,まさか……カレルレン本体に？,"Wait, THE Karellen?!",难道是……卡列伦的主电脑？？,설마…… 카렐렌 본체 말이야?,
pc164,＊,**:**,は？　どゆこと？,"You're joking, right?",哈？什么情况？,뭐? 그게 무슨 소리야?,
,,,カレルレンってあのカレルレン？,You want them to hack the Oversee-R?,是我想的那个卡列伦吗？,카렐렌이라면 그 카렐렌?,
,,,為政Rの？　マジで言ってる？,THAT Karellen? Are you crazy?,入侵执政R？老哥你认真的？？,정치형 R을? 진심이야?,
pc165,＊,**:**,流石にそれはちょっと……,dude what the hell…,这着实有点强人所难吧……,아무리 그래도 그건 좀……,
pc166,＊,**:**,何言ってんだ？　死ぬぞ,Bro you serious? you're gonna get everyone,说什么胡话，找死呢？,뭔 소리야? 죽는다고,
,,,ハンドラーも引き受けるわけ,"killed. the Handler isn't that stupid, either.",你看Handler愿不愿意搭理你,날고 기는 핸들러라도,
,,,ないだろうし,there's no way they'll do it.,,이 의뢰는 안 받을 걸,
pc167,＊,**:**,え？　冗談だよね？,"this is some kind of joke, right?",啊？开玩笑的吧？,뭐? 장난이지?,
,,,冗談じゃないなら本当にやめて,"if it is, this isn't funny. like at all.",如果是认真的，那我真诚劝你别作死,진심이라면 당장 그만 둬,
,,,ほしいしあり得ない,"seriously, get a life.",好离谱,말도 안 되는 짓이야,
,,,やめて、怖い……,i'm getting scared just talking about this.,真的别这样，很吓人……,"그만 둬, 무섭단 말이야……",
pc168,＊,**:**,ヤバい奴の投稿なんだろ,They're either a troll or screwed in the head.,就是个脑子有病的人瞎发的吧,분명 위험한 녀석일 거야,
,,,間に受けるなよ,Don't take the bait.,大伙别当真,진지하게 받지 말라고,
,,,1000万なんて本当に用意できるわけないし,"I mean, ten million? They don't have the money.",再说了一千万哪是说掏就掏,천만이나 되는 거금을 준비할 리 없으니까,
pc169,名無し2.4.5,**:**,\C[18]報酬金の支払いは確実だ。,"\C[18]The reward will be paid, I promise.",\C[18]酬劳当然是真金白银。,\C[18]보수는 확실하게 지불하지,
,,,\C[18]証拠に、このウォレットへ,"\C[18]As proof, I've added 10,000,000e to this","\C[18]我准备了10,000,000e放在这个钱包。",\C[18]그 증거로 지갑에,
,,,"\C[18]10,000,000eぶん用意しておいた。",\C[18]crypto wallet.,,"\C[18]10,000,000e 분의 금액을 준비했다",
,,,\C[18]気になるなら確認すればいい。,"\C[18]If you have any doubts, see for yourself.",\C[18]不相信的话，可以先看看。,\C[18]궁금하면 직접 확인해 봐,
,,,\C[18]ウォレットアドレス：1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]Wallet address: 1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]钱包地址：1KjH3d2L5fG6M7oP8r9S0tU1V,\C[18]지갑 주소: 1KjH3d2L5fG6M7oP8r9S0tU1V,
,,, , , , ,
,,,\C[18]たかが被造物だろ？,\C[18]Karellen is just a construct.,\C[18]何况区区一个被造物，有什么了不起？,\C[18]기껏해야 인공물일 뿐이잖아?,
,,, , , , ,
,,,\C[18]カレルレンも所詮は人類が作り出した,\C[18]A collection of programs. Lines of code.,\C[18]卡列伦也不过就是人类制造的程序集合体。,\C[18]카렐렌도 결국 인류가 만든,
,,,\C[18]プログラムの結晶だ。,\C[18]Written and compiled by humans.,,\C[18]프로그램 집합체일 뿐이야,
,,,\C[18]怖がることはない。,\C[18]There's no need to be afraid of it.,\C[18]没什么好怕的。,\C[18]무서워할 필요 없어,
pc170,ジョバンニ,,1000万……！？　正気か！？,Ten mil―?! How the hell?!,一千万……？！这人疯了吧？！,천만이라고…?! 제정신이야?!,
pc171,ジョバンニ,,でも、それだけあれば……,"But with that, I could…",可是，如果能拿那么多钱……,"그렇지만, 저 금액만 있으면…",
pc172,＊,**:**,にしてもリスクが高すぎるだろ,"That doesn't make it any less risky, dumbass.",就算是这样风险也太大了吧,그래도 너무 위험 부담이 커,
,,,引き受ける奴なんかいねーよ,No sane person would say yes.,谁会傻到接这种活,받아들일 녀석이 있겠냐고,
pc173,＊,**:**,わかったからもうこの話題やめよう,"Okay we get it, you're rich. Let's move on.",好好好知道了能不说这个了吗,알았으면 이 이야기는 끝내자,
,,,流石に危険すぎる,Even talking about this is dangerous.,真的太危险了,너무 위험해,
,,,ハンドラー、相手にしないようにお願い,"Handler, just ignore them.",Handler你别搭理那疯子,"핸들러, 부탁이니까 상대하지 마",
pc174,＊,**:**,騒ぎすぎ。,"Oh my god, calm down everyone",慌什么。,소란스럽게 굴기는,
,,,ハンドラーはリスク高い依頼は,The Handler doesn't take risky jobs from trolls.,Handler明确说过,핸들러도 위험한 의뢰는 받지,
,,,受けないって公言してるんだし,That's their policy.,不接风险太大的委托,않는다고 직접 공언할 정도인데,
,,,引き受けるわけないだろ,There's no way they're gonna do it.,怎么可能理这人,무슨 바람이 불어서 받아들이겠어?,
pc175,TODO,,通知を確認しなきゃ。,I should check my notifications.,赶快查看新消息吧。,알림을 확인하자.,
pc176,AI,**:**,なお、支払いが遅れる場合、,Payment failure will,此外要提醒您的是，,"또한, 지불이 늦어지면",
,,,更なるペナルティが,incur further penalties.,若您未能准时缴款，,추가로 패널티가,
,,,課せられることがございます。,We recommend that you,恐将面临进一步的处罚。,부과될 수 있습니다.,
,,,速やかにお支払いいただく,make the payment as soon,因此，我们强烈推荐您,되도록 빨리 지불해,
,,,ことをお勧めいたします。,as possible.,尽快尽早处理付款事宜。,주시기를 부탁드립니다.,
pc177,ジョバンニ,,……そんな……,No…!,……怎么这样……,말도 안 돼……,
pc178,名無し2.4.5,**:**,@ハンドラー,@Handler,＠Handler,＠핸들러,
,,,\C[18]今夜はカレルレンに情報が集まる特別な日だ。,\C[18]Tonight is special. It's data collection night.,\C[18]今晚是个特例，所有数据都会集中到卡列伦。,\C[18]오늘은 카렐렌이 정보를 모으는 특별한 날이다,
,,,\C[18]今から”更新時刻”の２０時まで、,"\C[18]From now until the refresh at 8PM, Karellen's",\C[18]从现在起一直到20点”更新时间”，会相对容易,"\C[18]지금부터 ""경신 시간""인 20시까지",
,,,\C[18]カレルレンのR-codeを割り出しやすくなる。,\C[18]R-code will be easier to decrypt.,\C[18]找出卡列伦的R-code。,\C[18]카렐렌의 R-codes를 쉽게 추출할 수 있는,
,,,\C[18]千載一遇のチャンスだ。,\C[18]It's a once-in-a-lifetime chance.,\C[18]这可是千载难逢的好机会。,\C[18]천재일우의 기회지,
pc179,名無し2.4.5,**:**,\C[18]金が必要なんじゃないのか？,"\C[18]And you need the money, don't you?",\C[18]你不是正缺钱吗？,\C[18]돈이 필요하지 않나?,
pc180,ジョバンニ,,どうしてそのことを？,How do they know that?,这人怎么知道的？,어떻게 알았지?,
pc181,名無し2.4.5,**:**,\C[18]人間スコアどうこうで,\C[18]You've been busting your ass trying to,\C[18]你不是一直为了人类评分的破事疲于奔命吗？,\C[18]지금까지 인간 스코어 덕분에,
,,,\C[18]今まで苦労してきたんだろ？,\C[18]keep afloat with your abysmal human,,\C[18]많이 고생했지?,
,,, ,\C[18]score. , , ,
,,,\C[18]だったら目にモノ見せてやれよ。, ,\C[18]既然如此，让我看看你的实力。,\C[18]그렇다면 직접 보여줘,
,,,\C[18]世界に支配されるんじゃなく、,\C[18]No more of that. It's time to put your foot down.,\C[18]不要让世界支配你，而是去成为支配世界的人。,\C[18]세계에게 지배당하는 쪽이 아닌,
,,,\C[18]お前が世界の支配者になれ。,\C[18]Why struggle in a world ruled by tyranny,,\C[18]세계를 지배하는 자가 되는 거야,
,,, ,\C[18]when you could rule it yourself?, , ,
,,,\C[18]カレルレンをハッキングさえすれば, ,\C[18]只要能入侵、掌控卡列伦，就能实现这个愿望了。,\C[18]카렐렌 해킹에 성공하면,
,,,\C[18]それが叶うんだ。,"\C[18]Hack into Karellen, and all of that will",,\C[18]모든 게 현실이 된다,
,,,\C[18]そうだろ？　ハンドラー。,\C[18]finally be possible.,\C[18]对吧？“Handler”。,"\C[18]핸들러, 구미가 당기지 않나?",
,,,,"\C[18]Wouldn't that be nice, Handler?",,,
pc182,＊,**:**,@ハンドラー,@Handler,＠Handler,＠핸들러,
,,,引き受けないよね？,"You're not going to say yes, are you?",你不会接的吧？,안 받을 거지?,
,,,お願いだから無視して,"I'm begging you, just ignore this guy.",算我求你，别搭理这人,"부탁이야, 무시해",
pc183,＊,**:**,いくらハンドラーでもカレルレンは流石に,"youre good, but theres no way that you could",就算让Handler去做这件事也太勉强了,제아무리 핸들러라도,
,,,無理だし,beat Karellen.,那可是卡列伦,카렐렌 해킹은 불가능하다고,
,,,失敗して捕まるだけだろ,"youre totally gonna get caught, dude.",只会搞砸 然后蹲号子吧？,실패하면 잡힐 게 뻔하잖아,
,,,何かあったらこの匿名サーバー自体にも,"worst case scenario, youre gonna tank this",真出什么事我们整个匿名服都得陪葬,그러다 문제라도 생기면,
,,,影響出るかもしれないし,entire server and screw us all over.,求求你别作死,이 익명 서버도 영향이 미칠 걸,
,,,勘弁してくれ,"seriously, think of the big picture!",饶了我吧,그러니 하지 마,
pc184,＊,**:**,ハンドラー、,Handler…,我说Handler,"핸들러,",
,,,まさかとは思うけど引き受けようとしてる？,Don't tell me you're seriously considering this?,你该不会打算要接吧？,설마 맡을 생각은 아니지?,
pc185,＊,**:**,わかってるよね？,Don't you get it?,你应该明白吧？,너도 알잖아?,
,,,私たちの食事やトイレだけじゃない、酸素も水も,Karellen sees EVERYTHING!,咱们别说吃喝拉撒，,우리가 먹는 식사나 용변 뿐만이 아니야.,
,,,全部カレルレンが管理してるんだからね？,Controls EVERYTHING!,就连呼吸的空气都归卡列伦管啊。,산소와 물도 전부 카렐렌이 관리하고 있어.,
,,,,From the air we breathe to the food we eat!,,,
pc186,＊,**:**,カレルレンがもしなくなったら誰も,"Without Karellen, we wouldn't be able to do",要是没了卡列伦，所有人都活不下去。,만약 카렐렌이 사라지면,
,,,生きていけなくなるよ。,anything. We wouldn't survive.,,다들 살아갈 수 없어,
,,,ありえないよね？,"Come on, man. You can't do this.",所以你不会接的吧？,그건 싫지?,
pc187,＊,**:**,分かってるなら早く断って。,I know you're not stupid. Just turn them down,明白就赶快拒绝。,알았으면 빨리 거절하라고,
,,,,already!,,,
pc188,ジョバンニ,,……酸素……,The air we breathe…,……空气……,산소라……,
pc189,名無し2.4.5,**:**,\C[18]ハッキングの後、カレルレンをどうするかは,\C[18]Hack into Karellen and take back control.,\C[18]入侵之后，要怎么处置卡列伦是你的自由。,\C[18]해킹이 끝나면 카렐렌을,
,,,\C[18]おまえ次第だ。,\C[18]Then the fate of this world will be yours to,,\C[18]어떻게 할지는 네 마음이다,
,,,\C[18]おまえは世界を生かしても殺してもいい。,\C[18]choose.,\C[18]想让全世界一起死还是活，都随便你。,\C[18]네 손으로 세상을 살리거나 죽일 수도 있지,
,,,,\C[18]Yours to save…or crush under your heel.,,,
pc190,名無し2.4.5,**:**,\C[18]5分以内に決めてくれ。,\C[18]You have five minutes to decide.,\C[18]5分钟以内给我答复。,\C[18]5분 내로 결단을 내려라,
pc191,名無し2.4.5,**:**,\C[18]ただし今日を逃せば、,"\C[18]If you let this chance slip away,",\C[18]不过一旦错过今天，,"\C[18]단, 오늘이 지나면 두 번 다시",
,,,\C[18]チャンスは二度となくなるかもしれないぞ。,\C[18]you may never get it back again.,\C[18]恐怕就再也没有这么好的机会了哦。,\C[18]기회는 오지 않을 거야,
pc192,名無し2.4.5,**:**,\C[18]”更新時刻”には、銀河中の人間の,"\C[18]During the refresh, Karellen collects data from",\C[18]卡列伦会在”更新时间”重新统计全银河人类的,\C[18]경신 시간 중에는 전 은하에 사는,
,,,\C[18]人間スコアを再計算するために,\C[18]across the galaxy in order to update the human,\C[18]人类评分，,\C[18]인류의 인간 스코어 계산을 목적으로,
,,,\C[18]カレルレンに銀河中からデータが集まる。,\C[18]scores of every single human being.,\C[18]届时整个银河的数据都会汇集到它那儿。,\C[18]전 은하의 데이터가 카렐렌에게 모인다,
,,, , , , ,
,,,\C[18]だからこっちでネットワークの,\C[18]I've been keeping an eye on the network traffic,\C[18]所以我这边监听网络流量，确定了卡列伦主机的,\C[18]그걸 토대로 이쪽에서,
,,,\C[18]トラフィックを監視して、,\C[18]to trace the activity back to Karellen…,\C[18]所在地。,\C[18]네트워크 트래픽을 감시해,
,,,\C[18]カレルレンの本体の場所を突き止めた。,\C[18]I finally figured out where their main terminal is.,,\C[18]카렐렌 본체가 있는 곳을 알아냈지,
pc193,名無し2.4.5,**:**,\C[18]これが俺から出せる情報だ。,\C[18]This is all the info I can give you.,\C[18]这就是我能提供的线索了。,\C[18]내가 줄 수 있는 정보는 이 정도다,
,,,\C[18]ここからR-codeを突き止めて,\C[18]I need you to find the R-code and,\C[18]你要从中找出R-code，黑进它的系统。,\C[18]여기서 R-codes를 추출해,
,,,\C[18]奴をハッキングしてくれ。,\C[18]hack your way through.,,\C[18]놈을 해킹해라,
,,,\C[18]ハンドラー、お前ならできるはずだ。,"\C[18]You can do it, Handler. Good luck.",\C[18]Handler，以你的本事应该可以做到。,"\C[18]핸들러, 너라면 할 수 있다",
pc194,ジョバンニ,,なんだ……これ？,Huh…?,这……什么？,이건…… 뭐지?,
,,,この画像に何かあるのか？,What's with this photo?,这张图里有什么吗？,이 이미지 안에 뭔가 있나?,
pc195,ジョバンニ,,……うーん。気になるところがあるとすれば……,I should take a closer look…,嗯……要说值得关注的点……,"음, 신경 쓰이는 곳이라면……",
pc196,TODO,,カレルレンに侵入って、,How the hell am I supposed to hack into,居然叫我黑进卡列伦……,"카렐렌을 해킹하라니,",
,,,一体どうすりゃいいんだよ？,"Karellen, anyway?",到底要怎么做啊？,대체 어떻게?,
,,,依頼者は何か画像を送ってきてるけど……,"Looks like the client sent a photo, but…",委托人好像发了张图过来……,의뢰인이 어떤 사진을 보내긴 했는데…,
pc197,ジョバンニ,,……本当に……やるのか？,…Am I really going to do this?,……真的……要做吗？,정말…… 할 수 있을까?,
,,,あのR・カレルレンだぞ……,Am I going to hack Karellen?,那可是R·卡列伦啊……,상대는 그 R-카렐렌이라고……,
pc198,ジョバンニ,,……でも……,…Mom…,……但是……,하지만……,
pc348,ジョバンニ,,……母さん……,Mom...,……妈妈……,엄마......,
pc349,ジョバンニ,,くそ。……やるしかない。,Damn it... I have no choice.,可恶……只能豁出去了。,젠장...... 할 수밖에 없겠네.,
pc350,ジョバンニ,,いつものツールは効かない……か。,None of my other tools are working.,平时用的工具不起效啊……,늘 쓰던 도구는...... 안 통하나.,
,,,まあ、そうだよな。,I guess I should've known...,算了，我想也是。,"뭐, 그럴 만도 해.",
pc351,ジョバンニ,,さて、この『鍵』を,"Okay, now I just need a way",好了，,"그럼, 이 ""열쇠""를",
,,,こじ開ける方法は……,to take care of this lock...,要想暴力”开锁“的话……,강제로 열 방법은......,
pc199,ジョバンニ,,……,…,……,……,
pc200,ジョバンニ,,レスポンスに時間がかかるな……,Sure is taking a while…,响应要等好久啊……,응답도 시간이 걸리네……,
,,,けっこう遠くにあるのか？,Its server must be far away.,是因为距离这里很远吗？,상당히 먼 곳에 있나?,
pc352,,,秘密鍵がこんなところに……！？,A private key...? Here?!,密钥竟然真就放在这种地方……？！,이런 곳에 비밀 키가......?!,
pc353,,,しかも平文で……嘘だ、そんなに脆弱なわけ……,And it's not even encrypted...,而且还是明文……不是吧，怎么可能这么脆弱……,"문장도 평범하잖아...... 말도 안 돼, 이렇게 취약할 리......",
pc201,ジョバンニ,,……侵入完了、か……？,Did I make it…?,……这就成功了……？,침입에…… 성공했나……?,
pc202,ジョバンニ,,……！？,…?!,……？！,……?!,
pc203,TODO,,部屋に戻るか……,Guess I'll go back to my room…,回房间吧……,방으로 돌아갈까……,
pc205,ジョバンニ,,……！？,…?!,……？！,……?!,
pc206,R・カレルレン,**:**,尊敬する生徒の皆様へ、,"Beloved students,",尊敬的各位同学：,"존경하는 학생 여러분,",
pc207,R・カレルレン,**:**,R・カレルレンは、,"I, R. Karellen, always",R·卡列伦向来以实现,저 R-카렐렌은,
,,,プリマ・ゼウス銀河学園の,put the prosperity of,至上星主银河学园,프리마 제우스 은하학교,
,,,すべての生徒の皆様の,the Galactic Gymnasium's,诸位学生的幸福为第一位。,학생 여러분 모두의,
,,,幸福を第一に考えています。,students above all else.,,행복을 우선합니다.,
pc208,R・カレルレン,**:**,この度、不幸にも,"As such, students with",本次卡列伦决定，,이번에 안타깝게도,
,,,人間スコアが-10000,a human score of -10000,对于人类评分不幸降至,인간 스코어가,
,,,を下回ってしまった,or below are now,-10000点以下的学生，,"-10,000점을 넘은",
,,,生徒に対し、特別な,required to enroll in,提供特殊的“共生教育”,학생을 대상으로 특별히,
,,,「共生プログラム」の,"the Symbiosis Program,",课程。,공생 프로그램을,
,,,提供を決定しました。,effective immediately.,,제공하기로 하였습니다.,
pc209,R・カレルレン,**:**,このプログラムは、,This program will help,本课程将改善实施对象的,이 프로그램은 대상자의,
,,,対象者の苦境を改善し、,reintegrate them into,困境，帮助他们重返社会,어려운 상황을 해결하여,
,,,より幸福な社会への,"society, for the",大家庭，共赴幸福生活。,보다 행복한 사회 생활을,
,,,再統合を目指すものです。,betterment of mankind.,,할 수 있도록 돕습니다.,
pc210,R・カレルレン,**:**,共生プログラムは速やかに,The Symbiosis Program,共生教育将在通告后迅速,공생 프로그램은 즉시,
,,,開始され、対象者を,will guide its members,执行，引导实施对象走向,"시행되며, 대상자를",
,,,幸福に導きます。,to true happiness.,幸福。,행복으로 인도합니다.,
pc211,R・カレルレン,**:**,プログラムの実施に,Certain sections of the,伴随此决定，,프로그램 실시에 따라,
,,,あたり、校内の一部,Gymnasium will now be,校内的部分区域将划为,교내 일부 구역을,
,,,区域を侵入禁止と,off-limits for the,禁区。,침입 금지 구역으로,
,,,させていただきます。,duration of the program.,,지정하겠습니다.,
pc212,R・カレルレン,**:**,対象者が経験する,Out of respect for all,请尊重实施对象,대상자가 겪은 모든,
,,,全ての苦難を尊重し、,the hardships of the,所经历的一切苦难，,"어려움을 존중하고,",
,,,プログラムが円滑に,"reeducated, please",并最大限度配合执行，,프로그램이 원활하게,
,,,進むようご協力を,cooperate with the,以确保教育方案能够顺利,이루어질 수 있도록,
,,,お願いいたします。,new regulations.,落地。,협조해 주십시오.,
pc213,R・カレルレン,**:**,今後も、カレルレンは,"I, Karellen, vow to",卡列伦承诺将继续维护,R-카렐렌은 앞으로도,
,,,共生体の安全と幸福を,continue to protect the,共生体的安全与秩序，,공생체의 안전과 행복을,
,,,守ることを,safety and order of the,捍卫诸位居民的幸福。,지켜드리겠다는 약속을,
